LT,ITF09,ITF1330,ITF18,ITF21,RH09,RH1330,RH18,RH21,RHTR09,RHTR1330,RHTR18,RHTR21,T09,T1330,T18,T21,U09,U1330,U18,U21
2007-03-19,65.83872475968609,68.40090660407729,69.07843343303337,66.2215074698651,5.838724759686089,8.4009066040773,9.078433433033371,6.221507469865099,14.014481329834087,20.16439438444279,21.79063769709674,14.933260920580796,-19.2,-8.75,-9.1,-17.6,90.0,60.5,67.0,85.0
2007-03-20,67.20411094613061,71.12631827316781,72.14008661641782,69.2792089779947,7.20411094613062,10.37543942438927,10.713362205472608,9.279208977994696,17.29176875226245,24.903794593281273,25.714898507464195,22.272552026365283,-16.4,-6.3999999999999995,-4.6,-11.3,90.0,63.5,58.0,80.0
2007-03-21,68.95372617675598,73.12520940196123,73.1139115801318,68.53972012893156,8.953726176755977,11.04173646732041,11.037970526710598,8.539720128931563,21.49130734899375,26.503083453882436,26.494044201898877,20.497583502352693,-11.8,-2.95,-3.9,-13.3,80.0,53.5,57.0,85.0
2007-03-22,68.33308931189686,72.25440086625633,72.76140995002996,70.68452502447501,8.333089311896869,10.751466955418778,10.920469983343317,10.228175008158333,20.001614973831604,25.80635997014278,26.21201186794884,24.550321104332582,-12.8,-4.8,-2.1,-4.5,80.0,59.0,50.0,55.0
2007-03-23,67.27968870350975,68.0589786343655,68.77937146353987,67.77863007888295,7.279688703509745,8.058978634365497,8.779371463539878,7.778630078882955,17.473175328755598,19.34367695985027,21.07280999320009,18.670766391470043,-10.9,-5.85,-6.2,-11.9,61.0,47.5,53.0,70.0
2007-03-24,67.98293238387015,68.07813723884911,67.9978150923108,65.90273337438362,7.9829323838701525,8.078137238849111,7.997815092310802,5.902733374383616,19.16114587615722,19.389662670068216,19.1968683066816,14.168118908680206,-12.5,-10.65,-9.8,-18.3,75.0,66.5,62.0,85.0
2007-03-25,66.29720510623075,67.80744944600912,67.73740399242195,67.37967680590387,6.2972051062307495,7.807449446009118,7.73740399242195,7.379676805903862,15.11495523829958,18.739940483271035,18.571812896864664,17.71317317963618,-18.2,-10.7,-8.3,-11.6,90.0,64.5,54.0,65.0
2007-03-26,67.32584107711412,70.17047675827848,69.53361669484612,69.27347263792068,7.325841077114119,10.056825586092826,9.53361669484612,9.273472637920673,17.583953213452606,24.139037240945953,22.883197731502385,22.258783295319066,-15.4,-7.949999999999999,-5.8,-10.4,85.0,68.5,56.0,75.0
2007-03-27,67.54442772516943,69.14412776248541,68.67193641364382,67.00854441979166,7.544427725169432,9.144127762485414,8.671936413643818,7.008544419791661,18.108618893752098,21.948321436521905,20.81493750170435,16.822357443299634,-15.0,-8.0,-9.1,-16.0,85.0,62.5,64.0,85.0
2007-03-28,68.03700961953125,67.69848841899146,66.932444736532,65.77044870202863,8.037009619531249,7.698488418991456,6.932444736532,5.770448702028637,19.290945522609857,18.478405243699186,16.639698106861562,13.850600760926019,-10.4,-6.050000000000001,-5.9,-12.7,65.0,46.0,41.0,55.0
2007-03-29,64.7922440941967,68.00787139460087,68.28511688024557,66.36942400431664,4.792244094196703,8.007871394600866,8.28511688024556,6.369424004316638,11.502651375150313,19.221006087873885,19.886468469176013,15.288299665472119,-19.4,-8.2,-5.9,-15.6,75.0,55.5,49.0,75.0
2007-03-30,65.6563104808625,68.604369931789,69.11237409817743,70.09267005210475,5.656310480862504,8.604369931788996,9.112374098177424,10.03089001736825,13.576638888190084,20.652760102109326,21.872104256587207,24.076785026870233,-17.2,-7.8,-4.5,-8.9,75.0,58.0,49.0,73.0
2007-03-31,67.3729515789208,71.35812653785518,69.01186342639215,67.45073689161214,7.372951578920812,10.452708845951724,9.011863426392143,7.450736891612142,17.697030858860316,25.08926161055379,21.63085210116627,17.883736151080072,-13.6,-3.2,-3.4,-12.5,75.0,51.5,45.0,70.0
2007-04-01,67.48066602382937,79.57547066735478,84.71213438898667,69.80356481044655,7.480666023829361,13.191823555784925,14.90404479632889,9.803564810446556,17.955573972169432,31.663860267143846,35.77364341257146,23.531144497588606,-13.4,-1.9999999999999998,-0.4,-6.4,75.0,60.0,61.0,60.0
2007-04-02,69.0784295883827,82.42904929999534,80.51223873947598,74.23561434274538,9.078429588382695,14.14301643333178,13.504079579825325,11.411871447581797,21.79062846891981,33.9469743669029,32.4133571862755,27.391505152779338,-10.7,-2.5,-0.6,-8.0,75.0,66.5,56.0,78.0
2007-04-03,80.12990755059482,78.88390136550514,75.64721227401293,80.29331493159376,13.376635850198277,12.961300455168379,11.88240409133764,13.431104977197919,32.10745857947788,31.11054394848598,28.520907757355662,32.23819886863477,-6.6,-0.95,-0.2,-2.7,83.0,55.0,48.0,64.0
2007-04-04,76.02926691404296,81.95472222406659,84.79079512180878,83.68485403527447,12.00975563801432,13.984907408022197,14.930265040602926,14.561618011758153,28.82658510072846,33.567470952291096,35.8365789231438,34.95172870058909,-6.3,0.35,1.5,-5.0,73.0,54.5,54.0,81.0
2007-04-05,77.17456371026154,76.65219051008441,73.73121072534191,79.07846378525295,12.391521236753846,12.2173968366948,11.243736908447302,13.026154595084316,29.742923355418796,29.324978812023808,26.9879378574223,31.26621101114492,-4.8,3.05,4.3,-4.7,68.0,40.0,34.0,71.0
2007-04-06,72.05213309757579,84.05040805446906,85.03838262756074,85.49388461173615,10.684044365858597,14.683469351489682,15.038382627560738,15.493884611736151,25.644527950054368,35.24420409478366,36.09608968383402,37.18941473607915,-10.0,1.1,2.5,-0.3,84.0,54.5,51.0,63.0
2007-04-07,86.33830562558926,85.52750432372964,82.11303067203961,85.22775818861969,16.338305625589257,15.527504323729648,14.03767689067987,15.227758188619694,39.21624816636404,37.270110923250094,33.69413164618046,36.550641041197586,-0.2,3.0,2.7,-4.7,66.0,51.0,47.0,83.0
2007-04-08,82.10884740490918,86.11414670782388,85.61653561014133,85.22003600901785,14.03628246830306,16.114146707823867,15.616535610141327,15.220036009017843,33.6907846642332,38.678207567219964,37.48380952226655,36.532105770858585,-1.8,2.4,3.4,-3.4,63.0,55.0,50.0,76.0
2007-04-09,81.57475536399717,80.8227659271744,85.26233589661305,85.12027851108348,13.858251787999055,13.607588642391471,15.262335896613058,15.12027851108348,33.263464016669005,32.66180627139385,36.633636671758445,36.29266143158008,-1.0,2.55,4.7,-3.1,59.0,46.0,45.0,74.0
2007-04-10,82.18206406901223,85.42618668159419,84.02884680817095,86.27227006661015,14.060688023004072,15.42618668159419,14.676282269390319,16.272270066610155,33.74936444060202,37.02692182588175,35.226953199760665,39.057745385961105,-2.7,4.35,4.8,-2.2,67.0,46.5,43.0,75.0
2007-04-11,76.97054583668194,83.98229324807551,85.8498550872664,81.6547109867661,12.323515278893977,14.660764416025168,15.849855087266398,13.884903662255365,29.57969109735362,35.18970625368666,38.04383788301971,33.32743555318485,1.7,4.6,5.3,0.1,44.0,43.5,45.0,55.0
2007-04-12,85.39962042541049,87.42525827954306,88.99312911578514,87.72665381431634,15.399620425410497,17.425258279543055,18.993129115785138,17.726653814316332,36.96315579535046,41.82522158131709,45.588525635966064,42.54865045813959,0.1,2.525,4.7,-1.5,61.0,59.0,56.0,78.0
2007-04-13,86.02030007149874,86.38878597797606,85.6376659316299,88.05825498410168,16.020300071498735,16.38878597797605,15.637665931629897,18.05825498410168,38.452950856760296,39.33741434308345,37.534527873992864,43.34458083577873,-0.5,6.75,7.8,0.0,66.0,42.5,38.0,72.0
2007-04-14,68.65271382916573,87.76097648803389,87.61457668478174,82.16464614738157,8.652713829165739,17.76097648803388,17.61457668478174,14.054882049127194,20.76879822260367,42.5,41.0,33.73542857003989,4.4,8.05,8.5,3.4,26.0,42.5,41.0,45.0
2007-04-15,85.50029704717977,85.1328407890073,83.6283123608206,82.24647476534373,15.500297047179755,15.132840789007295,14.542770786940197,14.082158255114578,37.204806274557484,36.32281421607835,34.906490383798726,33.800898667585535,3.6,6.85,7.5,2.1,49.0,39.0,36.0,49.0
2007-04-16,86.23197059122481,88.60797298208749,86.42765544919988,86.05178220809037,16.2319705912248,18.607972982087492,16.42765544919988,16.05178220809038,38.9610160026393,44.66404920199439,39.43071133877815,38.52851629846998,2.8,5.4,6.6,0.0,54.0,52.5,43.0,64.0
2007-04-17,86.53004944195385,86.02169369228805,83.20431187836672,88.15958521557131,16.53004944195386,16.02169369228805,14.401437292788913,18.15958521557131,39.67648396187657,38.45629591468588,34.567252674095506,43.58780015087368,-0.7,5.65,6.9,0.3,69.0,44.5,37.0,71.0
2007-04-18,86.23197059122481,86.06555341799003,84.20634473922944,86.12101665575632,16.2319705912248,16.065553417990035,14.735448246409813,16.12101665575633,38.9610160026393,35.5,30.0,38.69469725649271,2.8,9.35,10.7,3.9,54.0,35.5,30.0,50.0
2007-04-19,86.07553477615231,86.08235615935288,83.1499495367153,88.15125967463138,16.075534776152313,16.082356159352887,14.38331651223843,18.15125967463137,38.585528734462486,35.0,30.0,43.56781665398595,4.5,9.600000000000001,10.3,2.9,48.0,35.0,30.0,60.0
2007-04-20,83.05156037950472,76.95881989915895,78.53952118382901,77.21008233299432,14.35052012650157,12.319606633052986,12.846507061276338,12.40336077766477,34.445038028659745,28.5,29.0,29.77134138022373,5.2,8.6,9.0,2.9,41.0,28.5,29.0,41.0
2007-04-21,82.73440870271895,81.35524998839514,70.90400547843547,68.99043587145503,14.244802900906318,13.785083329465047,10.301335159478493,8.990435871455041,34.19128876913374,33.08784039365844,24.72592478783612,21.579420310669235,2.6,1.15,-0.7,-3.1,48.0,51.0,43.0,44.0
2007-04-22,72.70615049008227,87.27920897398653,91.50449280034982,90.80470256282665,10.902050163360755,17.27920897398653,21.504492800349812,20.804702562826655,26.16779943563368,41.47466467887676,51.61646168679085,49.93678031419334,-3.0,0.19999999999999998,-1.4,-1.9,53.0,68.0,94.0,94.0
2007-04-23,85.73326277504631,80.51223873947598,86.02030007149874,87.57405167193897,15.733262775046324,13.504079579825325,16.020300071498735,17.574051671938967,37.76398554367116,32.4133571862755,38.452950856760296,42.18236501683799,-3.1,-0.6,-0.5,-2.2,77.0,56.0,66.0,81.0
2007-04-24,73.06565239160133,70.8750639097268,71.70955917593004,72.01599410053815,11.02188413053378,10.29168796990893,10.569853058643346,10.671998033512716,26.455432602934508,24.702768985212664,25.37043865678145,25.615613571195485,-5.4,-1.9,-1.0,-4.4,63.0,46.5,45.0,57.0
2007-04-25,76.26179627879523,84.91146538384403,88.8247813795747,86.49329513133067,12.08726542626508,14.970488461281342,18.824781379574702,16.49329513133067,29.012629061529605,35.93312575508421,45.18444661132509,39.58826391020088,-3.8,-2.2,-3.4,-5.2,62.0,69.0,94.0,93.0
2007-04-26,67.21505930871888,67.79013836314665,64.2535387769419,79.32616886624024,7.2150593087188835,7.790138363146657,4.253538776941889,13.108722955413416,17.318047713748154,18.698389312842476,10.20961635094824,31.464396880815777,-9.3,-4.0,-2.5,-5.8,54.0,40.5,20.0,77.0
2007-04-27,73.47863555691063,70.66874825088388,71.16050634573259,85.80097311108896,11.159545185636876,10.222916083627958,10.386835448577525,15.800973111088966,26.78585548909422,24.537698296668342,24.931148060826686,37.92650823130639,-5.9,1.7,2.6,0.0,66.0,36.5,35.0,63.0
2007-04-28,84.0224479534762,82.14770415003478,85.71990700662809,81.92749236334967,14.674149317825403,14.04923471667826,15.719907006628091,13.975830787783224,35.22183355272912,33.721873480799275,37.73192817243914,33.54568466673856,0.4,1.75,2.3,0.2,57.0,50.0,54.0,55.0
2007-04-29,84.4058005072388,76.56931912060384,68.70534899410842,70.29433526310261,14.801933502412933,12.18977304020128,8.705348994108416,10.098111754367538,35.528549341340174,29.258674405470757,20.895136518506064,24.238134947770796,3.2,5.35,3.9,0.1,48.0,34.5,27.0,40.0
2007-04-30,70.9877692234723,69.63750504334658,69.52972753294742,72.92468476585026,10.3292564078241,9.637505043346568,9.529727532947426,10.974894921950087,24.792943157386098,23.13255720302594,22.873862715884886,26.34264609329345,-0.3,2.35,4.2,1.0,42.0,33.0,29.0,41.0
2007-05-01,73.4269047865795,70.73942766659454,70.54877125572483,75.80645484843066,11.1423015955265,10.246475888864843,10.182923751908273,11.935484949476884,26.74446631909433,24.59424805097542,24.4417061392555,28.648315834629717,0.5,5.35,7.0,2.3,43.0,29.0,26.0,41.0
2007-05-02,82.16464614738157,78.9649813185438,94.35019148640947,95.1064471774587,14.054882049127194,12.98832710618127,24.35019148640947,25.133058971823377,33.73542857003989,29.5,58.44689003331571,60.32597874012043,3.4,8.899999999999999,5.8,4.3,45.0,29.5,67.0,76.0
2007-05-03,85.47617598952607,80.5607057572447,76.43297571282972,77.21008233299432,15.476175989526073,13.5202352524149,12.144325237609907,12.40336077766477,37.146909366233004,32.452135066925194,29.149587677270024,29.77134138022373,3.9,6.55,6.0,2.9,48.0,35.5,33.0,41.0
2007-05-04,71.72718894080509,72.5504099223335,72.75636718035055,82.55719336560675,10.575729646935034,10.850136640777833,10.91878906011685,14.185731121868914,25.384544020587207,26.043193271967997,26.20797720830247,34.04950089960514,1.2,4.449999999999999,5.3,1.9,39.0,32.5,31.0,50.0
2007-05-05,79.52711248163622,84.29580258150997,85.18672591731288,88.89067038398557,13.17570416054541,14.765267527169993,15.186725917312877,18.890670383985558,31.625169461714524,35.440541317904945,36.45215275414551,45.34259762206172,3.1,5.85,6.5,4.9,43.0,40.5,40.0,55.0
2007-05-06,82.01365372678848,81.01443987601908,96.94298799148402,99.0,14.004551242262828,13.671479958673029,27.42873498935501,30.754927426047026,33.0,27.5,65.83620743067013,73.81994766883159,8.3,10.899999999999999,5.9,4.3,33.0,27.5,75.0,93.0
2007-05-07,86.0415178293336,85.1019696445252,83.47325140237764,82.73454051051655,16.041517829333603,15.101969644525207,14.491083800792545,14.244846836838853,38.50387907880817,36.2487153167841,34.782427967402064,34.19139422697455,4.8,7.45,7.0,4.7,47.0,37.5,37.0,42.0
2007-05-08,87.33603894723788,81.12334592116802,76.58224536213578,87.95948436847719,17.33603894723787,13.707781973722675,12.194081787378591,17.95948436847719,41.611071622496546,32.90229672592087,29.26901653656218,43.10750527466252,5.7,7.0,7.6,4.1,48.0,35.0,30.0,55.0
2007-05-09,78.76247007471446,81.35751121391593,79.14318610236417,79.34257144784212,12.920823358238156,13.785837071305304,13.047728700788054,13.11419048261404,31.01338822654972,33.089649573125286,30.0,31.477520389976995,5.6,7.800000000000001,8.7,5.4,36.0,33.5,30.0,37.0
2007-05-10,85.46492711749583,79.79428163136313,71.4864517182971,86.7579797677993,15.464927117495835,13.264760543787709,10.495483906099032,16.7579797677993,37.1199091027272,27.5,20.0,40.223576936376645,7.2,10.4,11.8,7.3,39.0,27.5,20.0,42.0
2007-05-11,88.02531286744261,72.1470174795993,77.77941719887953,83.57750815597713,18.02531286744262,10.715672493199767,12.593139066293174,14.525836051992377,43.0,17.5,23.5,32.0,8.1,14.4,12.15,9.4,43.0,17.5,23.5,32.0
2007-05-12,88.13965462295076,79.8232230078213,80.42870288898115,85.96328615998016,18.13965462295075,13.274407669273767,13.476234296327053,15.963286159980152,39.0,22.0,21.0,29.0,9.8,14.15,15.2,12.6,39.0,22.0,21.0,29.0
2007-05-13,89.89654221353815,88.8306387862155,86.8089700627196,92.29637269938468,19.896542213538165,18.8306387862155,16.808970062719595,22.296372699384683,41.0,28.5,25.0,43.0,10.5,15.7,16.0,11.6,41.0,28.5,25.0,43.0
2007-05-14,92.59435397782838,91.31189311290707,89.08284882119857,92.19627440736821,22.59435397782838,21.31189311290706,19.082848821198578,22.196274407368193,46.0,30.0,25.0,38.0,10.7,16.950000000000003,18.2,13.6,46.0,30.0,25.0,38.0
2007-05-15,90.30261807266871,92.88533186513286,89.28457086018595,96.80855783365158,20.302618072668718,22.885331865132866,19.284570860185955,27.260697292064474,38.0,28.0,24.0,44.0,12.1,19.4,19.1,14.6,38.0,28.0,24.0,44.0
2007-05-16,76.65009831881918,87.95192164769452,85.58549603648031,78.83320775099068,12.216699439606392,17.951921647694526,15.585496036480308,12.94440258366356,29.323304874841078,33.5,27.0,28.0,7.1,12.149999999999999,13.4,9.7,31.0,33.5,27.0,28.0
2007-05-17,86.67919090200479,86.01426808931066,86.68486150973825,85.64917009210454,16.679190902004795,16.014268089310658,16.684861509738255,15.649170092104539,35.0,26.0,26.0,30.0,10.2,14.5,15.2,11.7,35.0,26.0,26.0,30.0
2007-05-18,93.49275030332277,92.18443726527632,95.88846364977213,96.17195232674749,23.49275030332277,22.184437265276316,26.110579562215168,26.464940408434355,49.0,31.5,35.0,41.0,10.3,16.8,17.8,15.3,49.0,31.5,35.0,41.0
2007-05-19,92.33909461126532,94.24369322835587,93.0896237577486,93.70922791293725,35.56448350751989,24.243693228355866,23.08962375774861,23.709227912937244,76.0,42.5,40.0,46.0,9.9,13.2,13.4,11.5,76.0,42.5,40.0,46.0
