date,year,isoWeek,month,day,epi_week,epi_year,Count
2011-07-22,2011,29,7,5,29,2011,NA
2011-07-23,2011,29,7,6,29,2011,NA
2011-07-24,2011,29,7,7,29,2011,NA
2011-07-25,2011,30,7,1,30,2011,NA
2011-07-26,2011,30,7,2,30,2011,126
2011-07-27,2011,30,7,3,30,2011,131
2011-07-28,2011,30,7,4,30,2011,107
2011-07-29,2011,30,7,5,30,2011,120
2011-07-30,2011,30,7,6,30,2011,37
2011-07-31,2011,30,7,7,30,2011,32
2011-08-01,2011,31,8,1,31,2011,143
2011-08-02,2011,31,8,2,31,2011,115
2011-08-03,2011,31,8,3,31,2011,118
2011-08-04,2011,31,8,4,31,2011,99
2011-08-05,2011,31,8,5,31,2011,94
2011-08-06,2011,31,8,6,31,2011,52
2011-08-07,2011,31,8,7,31,2011,27
2011-08-08,2011,32,8,1,32,2011,129
2011-08-09,2011,32,8,2,32,2011,103
2011-08-10,2011,32,8,3,32,2011,129
2011-08-11,2011,32,8,4,32,2011,141
2011-08-12,2011,32,8,5,32,2011,151
2011-08-13,2011,32,8,6,32,2011,27
2011-08-14,2011,32,8,7,32,2011,57
2011-08-15,2011,33,8,1,33,2011,145
2011-08-16,2011,33,8,2,33,2011,136
2011-08-17,2011,33,8,3,33,2011,96
2011-08-18,2011,33,8,4,33,2011,113
2011-08-19,2011,33,8,5,33,2011,121
2011-08-20,2011,33,8,6,33,2011,42
2011-08-21,2011,33,8,7,33,2011,47
2011-08-22,2011,34,8,1,34,2011,163
2011-08-23,2011,34,8,2,34,2011,148
2011-08-24,2011,34,8,3,34,2011,153
2011-08-25,2011,34,8,4,34,2011,112
2011-08-26,2011,34,8,5,34,2011,132
2011-08-27,2011,34,8,6,34,2011,57
2011-08-28,2011,34,8,7,34,2011,49
2011-08-29,2011,35,8,1,35,2011,177
2011-08-30,2011,35,8,2,35,2011,155
2011-08-31,2011,35,8,3,35,2011,153
2011-09-01,2011,35,9,4,35,2011,139
2011-09-02,2011,35,9,5,35,2011,136
2011-09-03,2011,35,9,6,35,2011,68
2011-09-04,2011,35,9,7,35,2011,31
2011-09-05,2011,36,9,1,36,2011,267
2011-09-06,2011,36,9,2,36,2011,188
2011-09-07,2011,36,9,3,36,2011,209
2011-09-08,2011,36,9,4,36,2011,218
2011-09-09,2011,36,9,5,36,2011,197
2011-09-10,2011,36,9,6,36,2011,91
2011-09-11,2011,36,9,7,36,2011,60
2011-09-12,2011,37,9,1,37,2011,315
2011-09-13,2011,37,9,2,37,2011,335
2011-09-14,2011,37,9,3,37,2011,279
2011-09-15,2011,37,9,4,37,2011,258
2011-09-16,2011,37,9,5,37,2011,283
2011-09-17,2011,37,9,6,37,2011,125
2011-09-18,2011,37,9,7,37,2011,56
2011-09-19,2011,38,9,1,38,2011,396
2011-09-20,2011,38,9,2,38,2011,371
2011-09-21,2011,38,9,3,38,2011,335
2011-09-22,2011,38,9,4,38,2011,341
2011-09-23,2011,38,9,5,38,2011,277
2011-09-24,2011,38,9,6,38,2011,103
2011-09-25,2011,38,9,7,38,2011,66
2011-09-26,2011,39,9,1,39,2011,337
2011-09-27,2011,39,9,2,39,2011,326
2011-09-28,2011,39,9,3,39,2011,324
2011-09-29,2011,39,9,4,39,2011,233
2011-09-30,2011,39,9,5,39,2011,281
2011-10-01,2011,39,10,6,39,2011,83
2011-10-02,2011,39,10,7,39,2011,55
2011-10-03,2011,40,10,1,40,2011,384
2011-10-04,2011,40,10,2,40,2011,273
2011-10-05,2011,40,10,3,40,2011,312
2011-10-06,2011,40,10,4,40,2011,254
2011-10-07,2011,40,10,5,40,2011,247
2011-10-08,2011,40,10,6,40,2011,92
2011-10-09,2011,40,10,7,40,2011,66
2011-10-10,2011,41,10,1,41,2011,345
2011-10-11,2011,41,10,2,41,2011,333
2011-10-12,2011,41,10,3,41,2011,279
2011-10-13,2011,41,10,4,41,2011,270
2011-10-14,2011,41,10,5,41,2011,264
2011-10-15,2011,41,10,6,41,2011,67
2011-10-16,2011,41,10,7,41,2011,57
2011-10-17,2011,42,10,1,42,2011,430
2011-10-18,2011,42,10,2,42,2011,364
2011-10-19,2011,42,10,3,42,2011,332
2011-10-20,2011,42,10,4,42,2011,288
2011-10-21,2011,42,10,5,42,2011,NA
2011-10-22,2011,42,10,6,42,2011,NA
2011-10-23,2011,42,10,7,42,2011,NA
2011-10-24,2011,43,10,1,43,2011,NA
2011-10-25,2011,43,10,2,43,2011,NA
2011-10-26,2011,43,10,3,43,2011,326
2011-10-27,2011,43,10,4,43,2011,244
2011-10-28,2011,43,10,5,43,2011,274
2011-10-29,2011,43,10,6,43,2011,84
2011-10-30,2011,43,10,7,43,2011,81
2011-10-31,2011,44,10,1,44,2011,402
2011-11-01,2011,44,11,2,44,2011,332
2011-11-02,2011,44,11,3,44,2011,296
2011-11-03,2011,44,11,4,44,2011,66
2011-11-04,2011,44,11,5,44,2011,82
2011-11-05,2011,44,11,6,44,2011,125
2011-11-06,2011,44,11,7,44,2011,248
2011-11-07,2011,45,11,1,45,2011,424
2011-11-08,2011,45,11,2,45,2011,423
2011-11-09,2011,45,11,3,45,2011,363
2011-11-10,2011,45,11,4,45,2011,288
2011-11-11,2011,45,11,5,45,2011,280
2011-11-12,2011,45,11,6,45,2011,105
2011-11-13,2011,45,11,7,45,2011,75
2011-11-14,2011,46,11,1,46,2011,515
2011-11-15,2011,46,11,2,46,2011,404
2011-11-16,2011,46,11,3,46,2011,414
2011-11-17,2011,46,11,4,46,2011,331
2011-11-18,2011,46,11,5,46,2011,338
2011-11-19,2011,46,11,6,46,2011,147
