epi_year_week,date,day,iso_week,epi_week,epi_year,date.1,day_off,break_day,holiday,day_off_sat,day_off_sun
2001-13,31.03.01,6,13,13,2001,2001-03-31,1.0,1.0,0.0,1.0,0.0
2001-13,01.04.01,7,13,13,2001,2001-04-01,1.0,1.0,0.0,0.0,1.0
2001-14,02.04.01,1,14,14,2001,2001-04-02,0.0,0.0,0.0,0.0,0.0
2001-14,03.04.01,2,14,14,2001,2001-04-03,0.0,0.0,0.0,0.0,0.0
2001-14,04.04.01,3,14,14,2001,2001-04-04,0.0,0.0,0.0,0.0,0.0
2001-14,05.04.01,4,14,14,2001,2001-04-05,0.0,0.0,0.0,0.0,0.0
2001-14,06.04.01,5,14,14,2001,2001-04-06,0.0,0.0,0.0,0.0,0.0
2001-14,07.04.01,6,14,14,2001,2001-04-07,1.0,0.0,0.0,1.0,0.0
2001-14,08.04.01,7,14,14,2001,2001-04-08,1.0,0.0,0.0,0.0,1.0
2001-15,09.04.01,1,15,15,2001,2001-04-09,0.0,0.0,0.0,0.0,0.0
2001-15,10.04.01,2,15,15,2001,2001-04-10,0.0,0.0,0.0,0.0,0.0
2001-15,11.04.01,3,15,15,2001,2001-04-11,0.0,0.0,0.0,0.0,0.0
2001-15,12.04.01,4,15,15,2001,2001-04-12,0.0,0.0,0.0,0.0,0.0
2001-15,13.04.01,5,15,15,2001,2001-04-13,0.0,0.0,0.0,0.0,0.0
2001-15,14.04.01,6,15,15,2001,2001-04-14,1.0,0.0,0.0,1.0,0.0
2001-15,15.04.01,7,15,15,2001,2001-04-15,1.0,0.0,0.0,0.0,1.0
2001-16,16.04.01,1,16,16,2001,2001-04-16,0.0,0.0,0.0,0.0,0.0
2001-16,17.04.01,2,16,16,2001,2001-04-17,0.0,0.0,0.0,0.0,0.0
2001-16,18.04.01,3,16,16,2001,2001-04-18,0.0,0.0,0.0,0.0,0.0
2001-16,19.04.01,4,16,16,2001,2001-04-19,0.0,0.0,0.0,0.0,0.0
2001-16,20.04.01,5,16,16,2001,2001-04-20,0.0,0.0,0.0,0.0,0.0
2001-16,21.04.01,6,16,16,2001,2001-04-21,1.0,0.0,0.0,1.0,0.0
2001-16,22.04.01,7,16,16,2001,2001-04-22,1.0,0.0,0.0,0.0,1.0
2001-17,23.04.01,1,17,17,2001,2001-04-23,0.0,0.0,0.0,0.0,0.0
2001-17,24.04.01,2,17,17,2001,2001-04-24,0.0,0.0,0.0,0.0,0.0
2001-17,25.04.01,3,17,17,2001,2001-04-25,0.0,0.0,0.0,0.0,0.0
2001-17,26.04.01,4,17,17,2001,2001-04-26,0.0,0.0,0.0,0.0,0.0
2001-17,27.04.01,5,17,17,2001,2001-04-27,0.0,0.0,0.0,0.0,0.0
2001-17,28.04.01,6,17,17,2001,2001-04-28,0.0,0.0,1.0,0.0,0.0
2001-17,29.04.01,7,17,17,2001,2001-04-29,0.0,0.0,1.0,0.0,0.0
2001-18,30.04.01,1,18,18,2001,2001-04-30,0.0,0.0,0.1,0.0,0.0
2001-18,01.05.01,2,18,18,2001,2001-05-01,0.0,0.0,1.0,0.0,0.0
2001-18,02.05.01,3,18,18,2001,2001-05-02,0.0,0.0,1.0,0.0,0.0
2001-18,03.05.01,4,18,18,2001,2001-05-03,0.0,0.0,0.0,0.0,0.0
2001-18,04.05.01,5,18,18,2001,2001-05-04,0.0,0.0,0.0,0.0,0.0
2001-18,05.05.01,6,18,18,2001,2001-05-05,1.0,0.0,0.0,1.0,0.0
2001-18,06.05.01,7,18,18,2001,2001-05-06,1.0,0.0,0.0,0.0,1.0
2001-19,07.05.01,1,19,19,2001,2001-05-07,0.0,0.0,0.0,0.0,0.0
2001-19,08.05.01,2,19,19,2001,2001-05-08,0.0,0.0,0.1,0.0,0.0
2001-19,09.05.01,3,19,19,2001,2001-05-09,0.0,0.0,1.0,0.0,0.0
2001-19,10.05.01,4,19,19,2001,2001-05-10,0.0,0.0,0.0,0.0,0.0
2001-19,11.05.01,5,19,19,2001,2001-05-11,0.0,0.0,0.0,0.0,0.0
2001-19,12.05.01,6,19,19,2001,2001-05-12,1.0,0.0,0.0,1.0,0.0
2001-19,13.05.01,7,19,19,2001,2001-05-13,1.0,0.0,0.0,0.0,1.0
2001-20,14.05.01,1,20,20,2001,2001-05-14,0.0,0.0,0.0,0.0,0.0
2001-20,15.05.01,2,20,20,2001,2001-05-15,0.0,0.0,0.0,0.0,0.0
2001-20,16.05.01,3,20,20,2001,2001-05-16,0.0,0.0,0.0,0.0,0.0
2001-20,17.05.01,4,20,20,2001,2001-05-17,0.0,0.0,0.0,0.0,0.0
2001-20,18.05.01,5,20,20,2001,2001-05-18,0.0,0.0,0.0,0.0,0.0
2001-20,19.05.01,6,20,20,2001,2001-05-19,1.0,0.0,0.0,1.0,0.0
2001-20,20.05.01,7,20,20,2001,2001-05-20,1.0,0.0,0.0,0.0,1.0
2001-21,21.05.01,1,21,21,2001,2001-05-21,0.0,0.0,0.0,0.0,0.0
2001-21,22.05.01,2,21,21,2001,2001-05-22,0.0,0.0,0.0,0.0,0.0
2001-21,23.05.01,3,21,21,2001,2001-05-23,0.0,0.0,0.0,0.0,0.0
2001-21,24.05.01,4,21,21,2001,2001-05-24,0.0,0.0,0.0,0.0,0.0
2001-21,25.05.01,5,21,21,2001,2001-05-25,0.0,0.0,0.0,0.0,0.0
2001-21,26.05.01,6,21,21,2001,2001-05-26,1.0,0.0,0.0,1.0,0.0
2001-21,27.05.01,7,21,21,2001,2001-05-27,1.0,0.0,0.0,0.0,1.0
2001-22,28.05.01,1,22,22,2001,2001-05-28,0.0,0.0,0.0,0.0,0.0
2001-22,29.05.01,2,22,22,2001,2001-05-29,0.0,0.0,0.0,0.0,0.0
2001-22,30.05.01,3,22,22,2001,2001-05-30,0.0,0.0,0.0,0.0,0.0
2001-22,31.05.01,4,22,22,2001,2001-05-31,0.0,1.0,0.0,0.0,0.0
2001-22,01.06.01,5,22,22,2001,2001-06-01,0.0,1.0,0.0,0.0,0.0
